@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute posx numeric
@attribute posy numeric
@attribute vel numeric
@attribute accel numeric
@attribute time numeric
@attribute signal numeric
@attribute accel_Max10 numeric
@attribute accel_stddev numeric
@attribute posx_stddev numeric
@attribute posy_stddev numeric
@attribute outputs-1 numeric
@attribute outputs-2 numeric
@attribute outputs-3 numeric
@attribute outputs-4 numeric
@attribute outputs-5 numeric
@attribute outputs-6 numeric
@attribute outputs-7 numeric
@attribute outputs-8 numeric
@attribute outputs-9 numeric
@attribute outputs-10 numeric
@attribute outputs-11 numeric
@attribute outputs-12 numeric
@attribute outputs-13 numeric
@attribute outputs-14 numeric
@attribute outputs-15 numeric

@data
311,'2018/04/04 19:36:41:505',11,638,5,0,0,47,1,0,0,0,0,640,?,?,?,?,?,?,?,?,?,?,?,?,?,?
312,'2018/04/04 19:36:41:709',11,638,5,0,0,47,1,0,0,0,0,640,?,?,?,?,?,?,?,?,?,?,?,?,?,?
313,'2018/04/04 19:37:12:700',12,282,0,0,0,48,1,0,0,0,0,282,?,?,?,?,?,?,?,?,?,?,?,?,?,?
314,'2018/04/04 19:37:12:904',12,282,0,0,0,48,1,0,0,0,0,282,?,?,?,?,?,?,?,?,?,?,?,?,?,?
315,'2018/04/04 19:37:13:108',12,282,0,0,0,48,1,0,0,0,0,282,?,?,?,?,?,?,?,?,?,?,?,?,?,?
316,'2018/04/04 19:37:13:312',12,282,0,0,0,48,1,0,0,0,0,282,?,?,?,?,?,?,?,?,?,?,?,?,?,?
317,'2018/04/04 19:37:13:513',12,282,0,0,0,48,1,0,0,0,0,282,?,?,?,?,?,?,?,?,?,?,?,?,?,?
318,'2018/04/04 19:37:13:714',12,282,0,0,0,48,1,0,0,0,0,282,?,?,?,?,?,?,?,?,?,?,?,?,?,?
319,'2018/04/04 19:37:13:919',12,282,0,0,0,48,1,0,0,0,0,282,?,?,?,?,?,?,?,?,?,?,?,?,?,?
320,'2018/04/04 19:37:14:122',12,282,0,0,0,48,1,0,0,0,0,282,?,?,?,?,?,?,?,?,?,?,?,?,?,?
321,'2018/04/04 19:37:14:323',12,282,0,0,0,48,1,0,0,0,0,282,?,?,?,?,?,?,?,?,?,?,?,?,?,?
322,'2018/04/04 19:37:14:524',12,282,0,0,0,48,1,0,0,0,0,282,?,?,?,?,?,?,?,?,?,?,?,?,?,?
323,'2018/04/04 19:37:14:726',12,282,0,0,0,48,1,0,0,0,0,282,?,?,?,?,?,?,?,?,?,?,?,?,?,?
324,'2018/04/04 19:37:14:929',12,282,0,0,0,48,1,0,0,0,0,282,?,?,?,?,?,?,?,?,?,?,?,?,?,?
325,'2018/04/04 19:37:15:133',12,282,0,0,0,48,1,0,0,0,0,282,?,?,?,?,?,?,?,?,?,?,?,?,?,?
326,'2018/04/04 19:37:15:336',12,282,0,0,0,48,1,0,0,0,0,282,?,?,?,?,?,?,?,?,?,?,?,?,?,?
327,'2018/04/04 19:37:15:540',12,282,0,0,0,48,1,0,0,0,0,282,?,?,?,?,?,?,?,?,?,?,?,?,?,?
328,'2018/04/04 19:37:15:744',12,282,0,0,0,48,1,0,0,0,0,282,?,?,?,?,?,?,?,?,?,?,?,?,?,?
329,'2018/04/04 19:37:15:948',12,282,0,0,0,48,1,0,0,0,0,282,?,?,?,?,?,?,?,?,?,?,?,?,?,?
330,'2018/04/04 19:37:16:153',12,282,0,0,0,48,1,0,0,0,0,282,?,?,?,?,?,?,?,?,?,?,?,?,?,?
331,'2018/04/04 19:37:16:356',12,282,0,0,0,48,1,0,0,0,0,282,?,?,?,?,?,?,?,?,?,?,?,?,?,?
332,'2018/04/04 19:37:16:560',12,282,0,0,0,48,1,0,0,0,0,282,?,?,?,?,?,?,?,?,?,?,?,?,?,?
333,'2018/04/04 19:37:16:764',12,282,0,0,0,48,1,0,0,0,0,282,?,?,?,?,?,?,?,?,?,?,?,?,?,?
334,'2018/04/04 19:37:16:969',12,282,0,0,0,48,1,0,0,0,0,282,?,?,?,?,?,?,?,?,?,?,?,?,?,?
335,'2018/04/04 19:37:17:172',12,282,0,0,0,48,1,0,0,0,0,282,?,?,?,?,?,?,?,?,?,?,?,?,?,?
336,'2018/04/04 19:37:17:376',12,282,0,0,0,48,1,0,0,0,0,282,?,?,?,?,?,?,?,?,?,?,?,?,?,?
