@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute iposx numeric
@attribute iposy numeric
@attribute ivel numeric
@attribute iaccel numeric
@attribute itime numeric
@attribute isignal numeric
@attribute iaccel_max numeric
@attribute iaccel_stddev numeric
@attribute iposx_stddev numeric
@attribute iposy_stddev numeric
@attribute posx numeric
@attribute posy numeric
@attribute vel numeric
@attribute accel numeric
@attribute time numeric
@attribute signal {0,1,2}
@attribute accel_max10 numeric
@attribute accel_stddev10 numeric
@attribute posx_stddev numeric
@attribute posy_stddev numeric
@attribute conductor_events {0,1,2,3,4,5,6,7,8,9,10}
@attribute contuctor_time numeric
@attribute graphics_trigger numeric
@attribute color_trigger numeric
@attribute particle_maxspeed numeric
@attribute particle_maxforce numeric
@attribute mixgraphics {0,1,2,3}

@data
59,'2018/04/05 13:44:42:878',4,639,5,0,0,22,1,0,0,0,0,640,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
60,'2018/04/05 13:44:43:080',4,639,5,0,0,22,1,0,0,0,0,640,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
61,'2018/04/05 13:44:43:285',4,639,5,0,0,22,1,0,0,0,0,640,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
62,'2018/04/05 13:44:43:488',4,639,5,0,0,22,1,0,0,0,0,640,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
63,'2018/04/05 13:44:43:693',4,639,5,0,0,22,1,0,0,0,0,640,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
64,'2018/04/05 13:44:43:896',4,639,5,0,0,22,1,0,0,0,0,640,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
65,'2018/04/05 13:44:44:099',4,639,5,0,0,22,1,0,0,0,0,640,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
66,'2018/04/05 13:44:44:302',4,639,5,0,0,22,1,0,0,0,0,640,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
67,'2018/04/05 13:44:44:505',4,639,5,0,0,22,1,0,0,0,0,640,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
68,'2018/04/05 13:44:44:710',4,639,5,0,0,22,1,0,0,0,0,640,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
69,'2018/04/05 13:44:44:915',4,639,5,0,0,22,1,0,0,0,0,640,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
