@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute iposx numeric
@attribute iposy numeric
@attribute ivel numeric
@attribute iaccel numeric
@attribute itime numeric
@attribute isignal numeric
@attribute icorners numeric
@attribute icornersx numeric
@attribute icornersy numeric
@attribute iaccel_Max10 numeric
@attribute iaccel_stddev numeric
@attribute iposx_stddev numeric
@attribute iposy_stddev numeric
@attribute posx numeric
@attribute posy numeric
@attribute vel numeric
@attribute accel numeric
@attribute time numeric
@attribute signal {0,1,2}
@attribute accelMax numeric
@attribute accel_stddev numeric
@attribute posx-stddev numeric
@attribute posy-stddev numeric
@attribute conductor_events {0,1,2,3,4,5,6,7,8,9,10}
@attribute conductor_time numeric
@attribute graphics_trigger numeric
@attribute color_trigger numeric
@attribute particle_maxspeed numeric
@attribute particle_maxforce numeric
@attribute mixgraphics {0,1,2,3,4,5}
@attribute corners {0,1,2,3,4,5}
@attribute cornersx numeric
@attribute cornersy numeric

@data
86,'2018/04/10 20:56:41:554',2,286,24,0,0,81,0,3,0,0,0,0,0,0,286,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
87,'2018/04/10 20:56:41:571',2,286,24,0,0,81,0,3,0,0,0,0,0,0,286,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
88,'2018/04/10 20:56:41:587',2,286,24,0,0,81,0,3,0,0,0,0,0,0,286,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
89,'2018/04/10 20:56:41:604',2,286,24,0,0,81,0,3,0,0,0,0,0,0,286,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
90,'2018/04/10 20:56:41:622',2,286,24,0,0,81,0,3,0,0,0,0,0,0,286,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
91,'2018/04/10 20:56:41:637',2,286,24,0,0,81,0,3,0,0,0,0,0,0,286,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
92,'2018/04/10 20:56:41:654',2,286,24,0,0,81,0,3,0,0,0,0,0,0,286,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
93,'2018/04/10 20:56:41:670',2,286,24,0,0,81,0,3,0,0,0,0,0,0,286,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
94,'2018/04/10 20:56:41:687',2,286,24,0,0,81,0,3,0,0,0,0,0,0,286,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
95,'2018/04/10 20:56:41:705',2,286,24,0,0,81,0,3,0,0,0,0,0,0,286,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
96,'2018/04/10 20:56:41:720',2,286,24,0,0,81,0,3,0,0,0,0,0,0,286,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
97,'2018/04/10 20:56:41:737',2,286,24,0,0,81,0,3,0,0,0,0,0,0,286,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
98,'2018/04/10 20:56:41:755',2,286,24,0,0,81,0,3,0,0,0,0,0,0,286,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
99,'2018/04/10 20:56:41:771',2,286,24,0,0,81,0,3,0,0,0,0,0,0,286,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
100,'2018/04/10 20:56:41:788',2,286,24,0,0,81,0,3,0,0,0,0,0,0,286,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
101,'2018/04/10 20:56:41:804',2,286,24,0,0,81,0,3,0,0,0,0,0,0,286,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
102,'2018/04/10 20:56:41:820',2,286,24,0,0,81,0,3,0,0,0,0,0,0,286,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
103,'2018/04/10 20:56:41:838',2,286,24,0,0,81,0,3,0,0,0,0,0,0,286,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
104,'2018/04/10 20:56:41:854',2,286,24,0,0,81,0,3,0,0,0,0,0,0,286,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
105,'2018/04/10 20:56:41:871',2,286,24,0,0,81,0,3,0,0,0,0,0,0,286,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
106,'2018/04/10 20:56:41:887',2,286,24,0,0,81,0,3,0,0,0,0,0,0,286,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
107,'2018/04/10 20:56:41:905',2,286,24,0,0,81,0,3,0,0,0,0,0,0,286,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
108,'2018/04/10 20:56:41:921',2,286,24,0,0,81,0,3,0,0,0,0,0,0,286,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
109,'2018/04/10 20:56:41:937',2,286,24,0,0,81,0,3,0,0,0,0,0,0,286,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
110,'2018/04/10 20:56:41:954',2,286,24,0,0,81,0,3,0,0,0,0,0,0,286,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
111,'2018/04/10 20:56:41:971',2,286,24,0,0,81,0,3,0,0,0,0,0,0,286,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
112,'2018/04/10 20:56:41:987',2,286,24,0,0,81,0,3,0,0,0,0,0,0,286,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
113,'2018/04/10 20:56:42:004',2,286,24,0,0,81,0,3,0,0,0,0,0,0,286,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
114,'2018/04/10 20:56:42:021',2,286,24,0,0,81,0,3,0,0,0,0,0,0,286,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
115,'2018/04/10 20:56:42:038',2,286,24,0,0,81,0,3,0,0,0,0,0,0,286,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
116,'2018/04/10 20:56:42:054',2,286,24,0,0,81,0,3,0,0,0,0,0,0,286,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
117,'2018/04/10 20:56:42:071',2,286,24,0,0,81,0,3,0,0,0,0,0,0,286,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
118,'2018/04/10 20:56:42:087',2,286,24,0,0,81,0,3,0,0,0,0,0,0,286,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
119,'2018/04/10 20:56:42:105',2,286,24,0,0,81,0,3,0,0,0,0,0,0,286,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
120,'2018/04/10 20:56:42:121',2,286,24,0,0,81,0,3,0,0,0,0,0,0,286,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
121,'2018/04/10 20:56:42:138',2,286,24,0,0,81,0,3,0,0,0,0,0,0,286,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
122,'2018/04/10 20:57:14:626',3,492,6,0,0,81,0,3,0,0,0,0,0,0,486,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
123,'2018/04/10 20:57:14:642',3,492,6,0,0,81,0,3,0,0,0,0,0,0,486,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
124,'2018/04/10 20:57:14:659',3,492,6,0,0,81,0,3,0,0,0,0,0,0,486,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
125,'2018/04/10 20:57:14:676',3,492,6,0,0,81,0,3,0,0,0,0,0,0,486,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
126,'2018/04/10 20:57:14:693',3,492,6,0,0,81,0,3,0,0,0,0,0,0,486,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
127,'2018/04/10 20:57:14:728',3,492,6,0,0,81,0,3,0,0,0,0,0,0,486,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
128,'2018/04/10 20:57:14:744',3,492,6,0,0,81,0,3,0,0,0,0,0,0,486,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
129,'2018/04/10 20:57:14:761',3,492,6,0,0,81,0,3,0,0,0,0,0,0,486,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
130,'2018/04/10 20:57:14:795',3,492,6,0,0,81,0,3,0,0,0,0,0,0,486,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
131,'2018/04/10 20:57:14:812',3,492,6,0,0,81,0,3,0,0,0,0,0,0,486,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?,?
